Количество на 100г продукта:,"Жиры, г",Ккал
Арахис,45.2,552
Арахис жареный,52.0,626
Горох лущеный,1.6,299
Горох отварной,0.8,130
Горох отварной с копченой грудинкой,5.7,156
"Горох, зерно",2.0,298
Горошек зеленый,0.2,55
"Горошек зеленый, консервы",0.2,40
Горчица,30.8,474
Грецкий орех,60.8,656
Каштаны,2.0,213
Кедровые орехи,68.0,673
Кешью,48.5,600
Кунжут,48.7,565
Лещина,62.6,653
Мак,47.5,556
Миндаль,53.7,609
Миндаль жареный,55.9,642
Мука соевая  необезжиренная,18.6,385
Мука соевая  обезжиренная,1.0,291
Мука соевая  полуобезжиренная,9.5,334
Оливки (мякоть),23.7,296
"Оливки, консервы",16.3,175
Подсолнечник,52.9,601
Рапс (низкоэруковый),43.6,544
Семечки подсолнечника,51.0,584
Сладкий попкорн,13.0,431
Соленый попкорн,30.0,527
"Соя, зерно",17.3,364
Суп с бобовыми (фасоль),1.3,54
Тыквенные семечки,42.0,500
"Фасоль  стручковая, консервы",0.1,16
Фасоль (стручок),0.3,23
"Фасоль, зерно",2.0,298
Фисташки,44.0,557
Фундук,61.5,651
Фундук жареный,66.1,703
"Чечевица, зерно",1.5,295
Жир бараний топленый,99.7,897
Жир говяжий топленый,99.6,896
Жир из печени трески,99.8,898
Жир кондитерский  твердый,99.8,898
Жир кондитерский для шоколадных изделий,99.7,897
Жир костный топленый,99.7,897
Жир кулинарный «Белорусский»,99.7,897
Жир кулинарный «Восточный»,99.7,897
Жир кулинарный «Новинка»,99.7,897
Жир кулинарный «Украинский»,99.7,897
Жир куриный,99.7,897
Жир свиной топленый,99.6,896
Майонез  «Провансаль»,67.0,629
Майонез столовый молочный,67.0,627
Маргарин  низкокалорийный  60% жирности,60.0,545
Маргарин «Здоровье»,82.0,743
Маргарин «Экстра»,82.0,744
Маргарин молочный столовый,82.0,743
Маргарин сливочный,82.0,743
Масло  сладко-сливочное «Бутербродное»,61.5,566
Масло  сладко-сливочное «Вологодское»,82.5,748
Масло  сладко-сливочное несоленое,82.5,748
Масло  сладко-сливочное несоленое «Любительское»,78.0,709
Масло  сладко-сливочное соленое «Любительское»,77.0,700
Масло арахисовое,99.9,899
Масло горчичное,99.8,898
Масло какао,99.9,899
Масло какаовелла,99.8,898
Масло канолы,99.9,899
Масло кокосовое,99.9,899
Масло конопляное,99.9,899
Масло кукурузное,99.9,899
Масло кунжутное,99.9,899
Масло льняное,99.8,898
Масло оливковое,99.8,898
Масло пальмовое,99.9,899
Масло подсолнечное,99.9,899
